id,name,model,rank,genzone,image,has_synergy_weapon
139,Verthandi,New Pact,B,Yggdrasill,Modifier-New_Pact-Icon.png,1
140,Zenkibo Tengu,Surefire,B,Shinou,Modifier-Surefire-Icon.png,1
141,Poseidon,Tidal Song,B,Olympus,Modifier-Tidal_Song-Icon.png,1
142,Osiris,The Innocence,A,Nile,Modifier-The_Innocence-Icon.png,1
143,Hodur,Dark Mistletoe,A,Yggdrasill,Modifier-Dark_Mistletoe-Icon.png,0
144,Leviathan,Drifting Flurry,A,Asterism,Modifier-Drifting_Flurry-Icon.png,1
145,Nuadha,Airgetlam,A,Asterism,Modifier-Airgetlam-Icon.png,0
146,Sobek,Croc Rage,A,Nile,Modifier-Croc_Rage-Icon.png,0
147,Shu,Gusty Lance,A,Nile,Modifier-Gusty_Lance-Icon.png,0
148,Tsukuyomi,Sakubo,A,Shinou,Modifier-Sakubo-Icon.png,1
149,Vidar,Frost Fang,A,Yggdrasill,Modifier-Frost_Fang-Icon.png,1
150,Hera,Radiant Feather,A,Olympus,Modifier-Radiant_Feather-Icon.png,0
151,Buzenbo Tengu,Shinku,A,Shinou,Modifier-Shinku-Icon.png,1
152,Apollo,The Glare,A,Olympus,Modifier-The_Glare-Icon.png,1
153,Verthandi,Archaic Oath,A,Yggdrasill,Modifier-Archaic_Oath-Icon.png,0
154,Zenkibo Tengu,Comet R4Y,A,Shinou,Modifier-Comet_R4Y-Icon.png,1
155,Hermes,Windwalker,A,Olympus,Modifier-Windwalker-Icon.png,1
156,Kali,Thundertusk,A,Asterism,Modifier-Thundertusk-Icon.png,0
157,Oneiroi,Drowsie,A,Olympus,Modifier-Drowsie-Icon.png,1
158,Heimdall,Enlightening,A,Yggdrasill,Modifier-Enlightening-Icon.png,0
159,Enlil,Cleansing Wind,A,Asterism,Modifier-Cleansing_Wind-Icon.png,0
160,Kingu,Wasteland Fiend,A,Asterism,Modifier-Wasteland_Fiend-Icon.png,0
161,Bastet,Ailuros,A,Nile,Modifier-Ailuros-Icon.png,0
162,Asura,R?hu,S,Asterism,Modifier-Rahu-Icon.png,1
163,Poseidon,Arctic Abyss,S,Olympus,Modifier-Arctic_Abyss-Icon.png,0
164,Tyr,AblaZe,S,Yggdrasill,Modifier-AblaZe-Icon.png,1
165,Kagutsuchi,Ryugiri,S,Shinou,Modifier-Ryugiri-Icon.png,1
166,Kuninotokotachi,Jin-ei,S,Shinou,Modifier-Jin-ei-Icon.png,1
167,Ookuninushi,Early Sakura,S,Shinou,Modifier-Early_Sakura-Icon.png,1
168,Tsukuyomi,Shinri,S,Shinou,Modifier-Shinri-Icon.png,1
169,Osiris,Living Soul,S,Nile,Modifier-Living_Soul-Icon.png,1
170,Hel,Darkstar,S,Yggdrasill,Modifier-Darkstar-Icon.png,0
171,Hera,Phantasmal Dawn,S,Olympus,Modifier-Phantasmal_Dawn-Icon.png,0
172,Skadi,Waverender,S,Yggdrasill,Modifier-Waverender-Icon.png,1
173,Leviathan,Countertide,S,Asterism,Modifier-Countertide-Icon.png,1
174,Hades,Puppet Master,S,Olympus,Modifier-Puppet_Master-Icon.png,0
175,Shu,Flowfly Mist,S,Nile,Modifier-Flowfly_Mist-Icon.png,0
176,Athena,Chord of Convallaria,S,Olympus,Modifier-Chord_of_Convallaria-Icon.png,1
177,Oceanus,Backflowing,S,Olympus,Modifier-Backflowing-Icon.png,0
178,Marduk,Rage Serpent,S,Asterism,Modifier-Rage_Serpent-Icon.png,0
179,Anubis,Jackal,S,Nile,Modifier-Jackal-Icon.png,0
180,Thor,Roaring Thunder,S,Yggdrasill,Modifier-Roaring_Thunder-Icon.png,0
181,Lingguang,Untainted Heart,S,Tianyuan,Modifier-Untainted_Heart-Icon.png,0
182,Jinwu,Tenblaze,S,Tianyuan,Modifier-Tenblaze-Icon.png,0
183,Mengzhang,Azure Lord,S,Tianyuan,Modifier-Azure-Lord-Icon.png,0
184,Gengchen,TaiYi,S,Tianyuan,Modifier-TaiYi-Icon.png,0
185,Luliang,Omnisight,S,Tianyuan,Modifier-Omnisight-Icon.png,0
186,YingZhao,Winged Gardener,S,Tianyuan,Modifier-YingZhao-Icon.png,0
187,Tyr,Firebrand,S,Yggdrasill,Modifier-Tyr_Firebrand-Icon.png,0
188,Kuramitsuha,So-ei,S,Shinou,Modifier-Kuramitsuha-Icon.png,0
189,Izanami,Flower of Yomi,S,Shinou,Modifier-Izanami-Icon.png,0
190,Kagutsuchi,Madoibi Scorched,S,Shinou,Modifier-Kagutsuchi_Madoibi-Icon.png,0
191,Buzenbo Tengu,Somezakura,S,Shinou,Modifier-Buzenbo_Somezakura-Icon.png,0
192,Sekhmet,The Lioness,S,Nile,Modifier-Sekhmet-Icon.png,0
193,Luwu,Nine-Tailed Guardian,S,Tianyuan,Modifier-Sekhmet-Icon.png,0
